ARA homolog	Log FC
AT2G41380	1.31
AT2G41380	1.16
AT2G41600	-1.09
AT2G41700	1.14
AT2G41820	-1.72
AT2G42220	-1.44
AT2G42280	-1.03
AT2G42320	-1.49
AT2G42390	1.11
AT2G42570	1.63
AT2G42570	-1.44
AT2G42600	-1.61
AT2G42840	-2.07
AT2G43020	-1.48
AT2G43030	-1.06
AT2G43120	-2.07
AT2G43200	-1.20
AT2G43750	-1.17
AT2G43840	8.13
AT2G44130	1.16
AT2G44160	-1.09
AT2G44190	-1.98
AT2G44300	-2.01
AT2G44310	1.06
AT2G44500	1.02
AT2G44510	1.13
AT2G44820	1.70
AT2G44860	1.22
AT2G45180	-2.09
AT2G45180	-2.64
AT2G45220	-1.46
AT2G45340	-1.57
AT2G45360	2.50
AT2G45460	1.18
AT2G45470	-1.52
AT2G45550	3.59
AT2G45600	-1.69
AT2G45630	1.12
AT2G45830	1.69
AT2G46225	-1.42
AT2G46225	-2.34
AT2G46500	1.05
AT2G46500	-1.07
AT2G46620	2.92
AT2G46660	2.13
AT2G46680	1.64
AT2G46820	-1.23
AT2G46890	-1.97
AT2G46910	-1.07
AT2G47010	-1.37
AT2G47180	-1.89
AT2G47240	-1.36
AT2G47240	-1.87
AT2G47260	1.51
AT2G47490	-2.68
AT2G47500	-1.25
AT2G47600	-1.09
AT2G47680	1.12
AT2G47710	1.45
AT2G47730	3.22
AT2G47730	3.03
AT2G47800	1.99
AT2G47800	1.87
AT2G47800	1.70
AT2G47880	-1.27
AT2G47990	1.46
AT2G48010	1.23
AT2G48020	-1.23
AT3G01015	-2.87
AT3G01180	-1.02
AT3G01360	1.57
AT3G01470	-1.16
AT3G01480	-1.53
AT3G01500	-1.31
AT3G01500	-1.45
AT3G01500	-1.57
AT3G01570	1.32
AT3G01600	4.56
AT3G01810	-1.38
AT3G02040	1.43
AT3G02080	1.08
AT3G02230	3.19
AT3G02340	1.07
AT3G02350	-1.23
AT3G02360	1.67
AT3G02430	1.77
AT3G02540	-1.36
AT3G02640	-3.14
AT3G02640	-3.18
AT3G02640	-3.78
AT3G02780	-1.39
AT3G02800	1.01
AT3G03000	1.08
AT3G03050	1.17
AT3G03080	3.71
AT3G03190	-1.35
AT3G03190	-1.73
